Waldman Anne,In The Room Of Never Give: New And Selected Poems 1985-2003,10,,
Waldman Anne,Iovis: All Is Full Of Jove,3,,
Waldman Anne,Kill Or Cure,10,,
Waldman Anne,Manatee/Humanity,1,,
Waldman Anne editor,Nice To See You: Homage To Ted Berrigan,5,,
Waldman Anne,Outrider: Poems Essays Interviews,10,,
Waldman Anne,Radical Presence,4,,
Waldman Anne,War Crime,5,,
Walker Franklin,Seacoast of Bohemia: An Account of Early Carmel,9,,
Walkow Gary,Beat,5,,
Walsh Joy editor,Moody Street Irregulars,2,,
Watson Steven,Birth of the Beat Generation: Visionarie...,2,,
Warhol Andy,Andy Warhol Diaries,7,,
Warner Simon,Text And Drugs And Rock N Roll: The Beats And Rock Culture,9,,
Warnow Catherine H.,Paul Bowles: The Complete Outsider,2,,
Weaver Helen,Awakener : A Memoir of Kerouac and the Fifties,4,,
Webb Jon Edgar,Outsider,8,,
Weddle Jeff,Bohemian New Orleans: The Story of the Outsider and Loujon Press,5,,
Weidner Chad,Green Ghost: William Burroughs And The Ecological Mind,7,,
Weidman Rich,Beat Generation FAQ,8,,
Weiner Seymour S.,Francis Carco: Career of a Literary Bohemian,9,,
Weinreich Regina,Spontaneous Poetics of Jack Kerouac: A Study of the Fiction,3,,
Weisner Kenneth Robert,Gary Snyders Myths And Texts And The Poetry Of Constituency,10,,
Weizmann Daniel editor,Drinking with Bukowski: Recollections of the Poet Laureate of Skid Row,2,,
Welch Lew,How I Work As a Poet & Other Essays/Plays/Stories,2,,
Welch Lew,I Remain Volume 1: Letters of Lew Welch & Correspondence of His Friends,3,,
Welch Lew,Ring Of Bone: Collected Poems Of Lew Welch,3,,
Welch Lew,Selected Poems,8,,
Wesling Donald ed.,Internal Resistances: The Poetry Of Edward Dorn,8,,
Wetzsteon Ross,Republic of Dreams: Greenwich Village: The American Bohemia 1910-1960,8,,
Whalen Philip,Canoeing Up Cabarga Creek: Buddhist Poems 1955-1986,10,,
Whalen Philip,Heavy Breathing,5,,
Whalen Philip,Overtime: Selected Poems,9,,
Whaley Preston Jr.,Blows Like A Horn: Beat Writing Jazz Style And Markets In The Transformation Of U.S. Culture,8,,
Wheeler Elizabeth Patricia,Frontier Sensibility In Novels Of Jack Kerouac Richard Brautigan And Tom Robbins,4,,
White Emil,Henry Miller Between Heaven and Hell,10,,
Whitehead Peter photographer with Corso Ferlinghetti Ginsberg And Others,Wholly communion, international poetry reading at the Royal Albert Hall London June 11 1965,8,
Whitmer Peter O.,Aquarius Revisited: Seven Who Created The Sixties Counterculture That Changed America,3,,
WHYY-FM (National Public Radio),Writer Robert Stone Relives Counterculture Years,2,,
Wickes George editor,Henry Miller And The Critics,5,,
Widmer Kingsley,Henry Miller,8,,
,,,,
Wien Kunsthalle editor,Cut-Ups Cut-Ins Cut-Outs: The Art Of William S. Burroughs,3,,
Wieners John,Nerves,9,,
Wieners John,Selected Poems: 1958-1984,8,,
Wilentz Leonard editor,Beat Scene,1,,
Williams Orlo,Vie de Boheme A Patch of Romantic Paris,7,,
Willey Philip,Naked Tea The Burroughs Bits,10,,
Eition: 3rd Printing,NULL,6,,
Wills David S.,Scientologist!: William S. Burroughs And The Weird Cult,7,,
Wilson Elizabeth,Bohemians: The Glamorous Outcasts,4,,
Winans A.D. Editor-,NULL,6,,
Winans A.D.,Holy Grail: Charles Bukowski And The Second Coming Revolution,7,,
Winslow Kathryn,Henry Miller: Full of Life,1,,
Wolf Daniel ed.,Village Voice Reader,2,,
Wolfe Tom,Electric Kool-Aid Acid Test,6,,
Wolfe Tom,In Our Time,2,,
Wolfe Tom,Mauve Gloves & Madmen Clutter & Vine,1,,
Wolfe Tom,Pump House Gang,8
,
Wolfe Tom,Radical Chic & Mau-Mauing the Flak Catch,10,,
Workman Chuck,The Source,5,,
Worth Richard,Jack Kerouac : The Road is Life,7,,
Wynn Jonathan R.,Beat Sociology: Ethnographic Journeys In Event Spaces,2,,
Young Noel ed.,Paintings of Henry Miller,5,,
Young Thom,From Blake To Bop: The Portmanteau Aesthetics Of Jack Kerouac,2,,
Zott Lynn M. editor,Beat Generation: A Gale Critical Companion,4,,
Kuth Ross,Clean Cut,3,,
Punji Corain,The quiet night,4,,
,,\,,
Stephen King,Just After Sunset,3
Yorgos Lanthimos,Kinds of Kindness - screenplay,4
Noah Bambuch,Mariage Story ,7
